Patient_1;Patient_2;Patient_3;Patient_4;Patient_5;Patient_6
A0A0B4J2D5;A0AVT1;A0A0B4J2D5;A0A0B4J2D5;O43390;A0AVT1
A0AVT1;A6NHL2;A0AVT1;A0AVT1;P43686;A0FGR8
A0FGR8;A6NKG5;A0FGR8;A0FGR8;P52788;A6NHL2
A1L0T0;A6NMZ7;A1X283;A6NHL2;Q9Y6E0;B5ME19
A6NHL2;B5ME19;A2A3N6;B5ME19;Q9UNF0;O00154
B5ME19;O00148;A6NHL2;O00116;P33176;O00159
O00148;O00154;A6NKG5;O00154;P35222;O00186
O00154;O00159;B5ME19;O00159;O75044;O00194
O00159;O00161;O00148;O00161;P00568;O00203
O00186;O00186;O00154;O00186;P52895;O00231
O00194;O00194;O00159;O00194;Q92597;O00232
O00203;O00203;O00161;O00203;Q9UN37;O00264
O00231;O00231;O00186;O00231;O60749;O00299
O00232;O00232;O00194;O00232;O60645;O00300
O00264;O00264;O00203;O00264;P54578;O00303
O00291;O00299;O00231;O00291;Q07157;O00401
O00299;O00303;O00232;O00299;P09543;O00410
O00303;O00410;O00264;O00300;P12081;O00429
O00401;O00425;O00291;O00303;P27487;O00468
O00410;O00429;O00299;O00410;P30566;O00469
O00425;O00468;O00303;O00425;P60900;O00471
O00429;O00469;O00410;O00429;P62753;O00505
O00468;O00471;O00425;O00468;P62140;O00560
O00469;O00487;O00429;O00469;Q99798;O00571
O00471;O00505;O00468;O00471;Q92629;O00592
O00487;O00506;O00469;O00505;P53004;O00629
O00505;O00560;O00471;O00560;O14818;O14495
O00506;O00571;O00505;O00571;P30740;O14744
O00560;O00592;O00506;O00592;P50990;O14786
O00571;O00629;O00560;O00629;P32119;O14818
O00629;O14495;O00571;O14495;P56192;O14908
O00764;O14558;O00592;O14558;P62424;O14936
O14494;O14579;O00629;O14579;Q9Y5M8;O14950
O14495;O14744;O00764;O14773;Q9P0L0;O14964
O14558;O14786;O14494;O14786;Q08AM6;O14974
O14579;O14787;O14495;O14787;Q6UVY6;O14980
O14786;O14818;O14558;O14818;P13645;O15031
O14818;O14908;O14579;O14828;P10619;O15118
O14828;O14936;O14656;O14880;P98095;O15143
O14908;O14950;O14786;O14908;Q8WX93;O15144
O14910;O14964;O14787;O14910;Q63ZY3;O15145
O14936;O14974;O14807;O14936;P54920;O15173
O14950;O14979;O14818;O14950;P43235;O15240
O14974;O14980;O14880;O14964;Q07021;O15371
O14979;O15031;O14908;O14974;Q13488;O15427
O14980;O15067;O14910;O14980;P07686;O15460
O15013;O15118;O14936;O15031;P26232;O15484
O15031;O15143;O14950;O15066;P31937;O15498
O15067;O15144;O14964;O15118;O00264;O15523
O15118;O15145;O14974;O15143;O60506;O43175
O15131;O15173;O14979;O15144;Q8IZP0;O43237
O15143;O15240;O14980;O15145;B5ME19;O43242
O15144;O15305;O15031;O15173;P49755;O43390
O15145;O15371;O15066;O15240;P68400;O43399
O15173;O15427;O15118;O15371;P62906;O43488
O15240;O15460;O15126;O15400;P05106;O43491
O15371;O15498;O15143;O15427;O75340;O43505
O15400;O43143;O15144;O15439;P16278;O43592
O15427;O43175;O15145;O15460;Q15008;O43615
O15439;O43237;O15173;O15484;P20337;O43681
O15460;O43242;O15240;O15498;O43707;O43707
O15484;O43294;O15371;O43169;Q13641;O43747
O15498;O43390;O15372;O43175;P31930;O43776
O43175;O43488;O15427;O43237;P35527;O43795
O43237;O43491;O15439;O43242;P23381;O43852
O43242;O43505;O15460;O43390;P40429;O43854
O43294;O43556;O15484;O43488;Q7Z5L7;O43865
O43390;O43681;O15498;O43491;Q14847;O60488
O43396;O43707;O43155;O43505;Q14165;O60493
O43399;O43747;O43175;O43615;Q04446;O60506
O43488;O43776;O43237;O43633;O95573;O60565
O43491;O43795;O43242;O43681;Q96RT1;O60568
O43592;O43852;O43294;O43707;P35237;O60610
O43615;O43854;O43390;O43776;P46060;O60645
O43681;O43865;O43488;O43795;P11217;O60664
