Enzyme;HeatInactivation
AatII;yes
AccI;no
AccIII;no
Acc65I;yes
AccB7I;yes
AgeI;yes
AluI;yes
Alw44I;yes
ApaI;yes
AvaI;partial
AvaII;yes
BalI;yes
BamHI;yes
BanI;no
BanII;yes
BbuI;yes
BclI;no
BglI;yes
BglII;no
BsaMI;no
Bsp1286I;yes
BsrSI;no
BssHII;no
Bst98I;no
BstEII;no
BstOI;no
BstXI;partial
BstZI;no
Bsu36I;no
CfoI;partial
ClaI;yes
CspI;yes
Csp45I;yes
DdeI;partial
DpnI;yes
DraI;yes
EclHKI;yes
Eco47III;yes
EcoICRI;yes
EcoRI;yes
EcoRV;yes
HaeII;no
HaeIII;no
HhaI;yes
HincII;yes
HindIII;yes
HinfI;no
HpaI;no
HpaII;no
HpaII;no
Hsp92I;yes
Hsp92II;yes
I-PpoI;yes
KpnI;partial
MboI;yes
MboII;yes
MluI;partial
MspI;yes
MspA1I;yes
NaeI;yes
NarI;yes
NciI;yes
NcoI;yes
NdeI;yes
NdeII;yes
NheI;yes
NotI;yes
NruI;yes
NsiI;partial
PstI;yes
PvuI;no
PvuII;yes
RsaI;yes
SacI;yes
SacII;yes
SalI;yes
Sau3AI;yes
ScaI;yes
SfiI;no
SgfI;partial
SinI;yes
SmaI;yes
SnaBI;no
SpeI;yes
SphI;yes
SspI;yes
StuI;yes
StyI;yes
TaqI;no
Tru9I;no
Tth111I;no
VspI;yes
XbaI;no
XhoI;yes
XhoII;yes
XmaI;yes
XmnI;yes
